,Made Donation in March 2007
659,0.42163918620152024
276,0.134463384073795
263,0.19426332965271878
303,0.20156785034577615
83,0.5968513507716953
500,0.673235149764839
530,0.2717841094283519
244,0.18496690012280323
249,0.051399015646292213
728,0.17301031358077903
129,0.19678594133781732
534,0.18437871402586276
317,0.19467534014453747
401,0.19426332965271878
696,0.19550205053497272
192,0.17991768377948672
176,0.20249892643142325
571,0.3182739765018575
139,0.035380336011578105
423,0.19828791703782733
563,0.43842141213084423
56,0.30559207165938457
528,0.36357030743742136
101,0.19426332965271878
467,0.16035413290282066
382,0.1858201731196185
466,0.17925540734846016
294,0.18496690012280323
512,0.1927060417797881
659,0.42163918620152024
389,0.17841487765545824
487,0.048014459688918286
701,0.20266774357762857
419,0.18262916810998797
536,0.13089814242905218
240,0.20753942812475637
508,0.12140661935145669
515,0.18496690012280323
283,0.31417141448956853
650,0.19426332965271878
65,0.2739644125895406
228,0.16702749322978058
741,0.1563199275738765
297,0.27834165597975563
464,0.17707152446553073
63,0.20266774357762857
231,0.2976830969917298
28,0.1866675006063411
248,0.18496690012280323
357,0.17157100003472747
300,0.37255956142084057
726,0.23155254501603603
680,0.1731020521443753
520,0.2970958997206733
254,0.20707807594417402
582,0.2053272542288682
143,0.17646970494047562
98,0.4560607184796258
1,0.20915624008276876
221,0.2747144145313537
352,0.19426332965271878
64,0.16959639903197263
138,0.2225089058163379
745,0.1759305164002348
64,0.16959639903197263
688,0.17494320983107797
623,0.15709697955460553
289,0.16741012376662204
174,0.29804556538558685
690,0.19426332965271878
105,0.20262588631973105
427,0.16755021554858288
48,0.13388368189684324
14,0.19426332965271878
657,0.205426188586743
301,0.1856835639843561
455,0.1709449430814118
579,0.18808198551031416
722,0.17980523015889005
98,0.4560607184796258
491,0.13388368189684324
303,0.20156785034577615
466,0.17925540734846016
65,0.2739644125895406
300,0.37255956142084057
9,0.20269390827746436
622,0.17991768377948672
323,0.17382273343726765
289,0.16741012376662204
568,0.20270279215528653
290,0.19426332965271878
156,0.11009834481183399
464,0.17707152446553073
426,0.19464926952635442
306,0.11102169191988703
4,0.2074860794694305
12,0.2688718826427529
187,0.20786806066973698
406,0.20028446841610426
96,0.2717841094283519
509,0.20266774357762857
733,0.17794242040334624
548,0.19038238460239418
478,0.2289003698474381
501,0.1702916327577318
127,0.37912159098951065
199,0.1692357710417488
299,0.4106161846053221
162,0.19426332965271878
235,0.17515019543238183
23,0.1592114281086458
473,0.19426332965271878
487,0.048014459688918286
683,0.4478441190881339
303,0.20156785034577615
309,0.20657549848631193
569,0.20266915259439422
34,0.38190849645394215
686,0.6334686012601694
84,0.09755745772542548
733,0.17794242040334624
537,0.5333411181812977
181,0.19025321772534448
453,0.2219085932879859
67,0.35425337259350814
161,0.1616262535183474
307,0.25431445734419894
703,0.21106377722738745
181,0.19025321772534448
246,0.19904191806220262
316,0.2663712593449873
278,0.17991768377948672
346,0.20391365694555105
545,0.19426332965271878
419,0.18262916810998797
694,0.2717841094283519
622,0.17991768377948672
663,0.19796146553759558
262,0.7825860887283509
461,0.2359662654157659
373,0.3997018912315795
233,0.19426332965271878
466,0.17925540734846016
207,0.17646970494047562
263,0.19426332965271878
16,0.20266915259439422
513,0.186939697008078
449,0.25203126859943337
429,0.17512115706644057
701,0.20266774357762857
632,0.20934022698732002
529,0.6935839349047249
245,0.21015481123805596
344,0.182533832059351
353,0.1814679089775542
241,0.21541025269347666
633,0.19070401679686177
624,0.20266774357762857
726,0.23155254501603603
189,0.17991768377948672
138,0.2225089058163379
402,0.18496690012280323
511,0.34580015326822217
590,0.44545092290095323
334,0.12412732346235249
447,0.18484924060844443
119,0.17925540734846016
389,0.17841487765545824
644,0.19426332965271878
423,0.19828791703782733
131,0.20266915259439422
405,0.1285956876891459
82,0.19426332965271878
643,0.14168543446104964
156,0.11009834481183399
617,0.19813146087392294
574,0.3029808691615829
272,0.20414947691093308
613,0.14527935292278749
545,0.19426332965271878
685,0.18496690012280323
570,0.1985056955317354
537,0.5333411181812977
691,0.19070401679686177
85,0.22905512075541207
483,0.19904191806220262
455,0.1709449430814118
93,0.17991768377948672
744,0.20266774357762857
33,0.19904191806220262
321,0.39635621361650364
523,0.14980220242675402
426,0.19464926952635442
196,0.16846800091337238
301,0.1856835639843561
103,0.19070401679686177
224,0.18542396795638233
454,0.15789933534451628
585,0.18671546451639587
154,0.21110276881883092
